Date,LTP,% Change,High,Low,Open,Qty.,Turnover
2019/03/13,239.0,-2.05,248.0,237.0,244.0,70458,11950.0
2019/03/12,245.0,4.26,246.0,234.0,235.0,94823,34300.0
2019/03/11,235.0,2.17,238.0,228.0,232.0,73683,164500.0
2019/03/10,230.0,0.0,234.0,226.0,230.0,41255,11500.0
2019/03/07,230.0,1.77,231.0,225.0,228.0,47328,46000.0
2019/03/06,226.0,0.89,226.0,222.0,223.0,25338,9040.0
2019/03/05,224.0,0.9,225.0,221.0,222.0,34553,11200.0
2019/03/03,222.0,-0.89,225.0,222.0,224.0,40964,105006.0
2019/02/27,224.0,0.45,228.0,223.0,224.0,26480,11200.0
2019/02/26,223.0,-0.45,225.0,221.0,225.0,34122,14941.0
2019/02/25,224.0,0.9,226.0,220.0,220.0,35508,11200.0
2019/02/24,222.0,-1.33,226.0,220.0,224.0,46222,8880.0
2019/02/21,225.0,0.45,228.0,222.0,222.0,32296,63000.0
2019/02/20,224.0,-3.45,233.0,223.0,231.0,41490,8960.0
2019/02/19,232.0,4.98,232.0,219.0,223.0,57539,23200.0
2019/02/18,221.0,-2.21,226.0,220.0,223.0,51862,8840.0
2019/02/17,226.0,-0.88,231.0,225.0,225.0,45386,9040.0
2019/02/14,228.0,-0.87,230.0,224.0,227.0,69628,9120.0
2019/02/13,230.0,-0.43,232.0,229.0,230.0,41724,11500.0
2019/02/12,231.0,-0.43,232.0,230.0,232.0,38083,9240.0
2019/02/11,232.0,0.43,237.0,227.0,231.0,61013,2320.0
2019/02/10,231.0,-2.94,238.0,229.0,237.0,59960,9240.0
2019/02/07,238.0,0.0,238.0,233.0,236.0,59830,11900.0
2019/02/06,238.0,-2.06,243.0,237.0,241.0,67848,9520.0
2019/02/05,243.0,-1.22,248.0,240.0,246.0,104687,2430.0
2019/02/04,246.0,-2.77,253.0,245.0,251.0,95240,12300.0
2019/02/03,253.0,-1.94,258.0,251.0,258.0,99156,10120.0
2019/01/31,258.0,0.78,260.0,253.0,256.0,57691,10320.0
2019/01/30,256.0,-1.54,260.0,256.0,260.0,53226,12800.0
2019/01/29,260.0,-2.62,267.0,258.0,267.0,95372,13000.0
2019/01/28,267.0,0.0,270.0,266.0,267.0,64493,13350.0
2019/01/27,267.0,-2.55,279.0,261.0,274.0,121117,13350.0
2019/01/24,274.0,-1.44,285.0,270.0,278.0,122167,33758245.0
2019/01/23,278.0,6.92,286.0,255.0,260.0,138867,13900.0
2019/01/22,260.0,-1.14,266.0,237.0,263.0,217131,13000.0
2019/01/21,263.0,-9.93,292.0,263.0,292.0,403770,5260.0
2019/01/20,292.0,-6.11,342.0,280.0,326.0,729258,14600.0
2019/01/17,311.0,9.89,311.0,283.0,283.0,57490,12440.0
2019/01/16,283.0,9.69,283.0,258.0,258.0,3690,14150.0
2019/01/15,258.0,9.79,258.0,235.0,235.0,3685,10320.0
2019/01/14,336.0,50.0,336.0,235.0,235.0,14295,13440.0
2019/01/13,224.0,0.0,224.0,224.0,224.0,51875,8960.0
